,year,country_of_production,coffee_bean,water_shortage_index,department,municipality_of_export,exporter,exporter_group,importer,importer_group,country_of_destination,economic_bloc,volume,fob,department_trase_id
1898,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,RACAFE & CIA S C A,RACAFE & CIA S C A,NV SUPREMO SA,NV SUPREMO SA,BELGIUM,EUROPEAN UNION,38.509,169368.08,CO-00
1899,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,SOCIEDAD EXPORTADORA CAFE DE COOPERATIVAS DE CAFICULTORES SA,SOCIEDAD EXPORTADORA CAFE DE COOPERATIVAS DE CAFICULTORES SA,MITSUI AND CO LTDA,MITSUI AND CO LTDA,UNITED STATES,UNITED STATES,38.509,168223.29,CO-00
1900,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,LOUIS DREYFUS CIA COL S A S,LOUIS DREYFUS,JSC CIA PRODUCT SERV,JSC CIA PRODUCT SERV,RUSSIAN FEDERATION,RUSSIAN FEDERATION,38.508,205567.74,CO-00
1901,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,SUCAFINA COLOMBIA S A S,SUCAFINA COLOMBIA S A S,FOLGER COFFEE CO,FOLGER COFFEE CO,UNITED STATES,UNITED STATES,38.508,182353.8,CO-00
1902,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,VILLEGAS Y CIA S C S,VILLEGAS Y CIA S C S,AMINE MAHMOUD AL DARWICH HAMA SYRIA,AMINE MAHMOUD AL DARWICH HAMA SYRIA,SYRIA,SYRIA,38.508,158845.5,CO-00
1903,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,SOCIEDAD EXPORTADORA CAFE DE COOPERATIVAS DE CAFICULTORES SA,SOCIEDAD EXPORTADORA CAFE DE COOPERATIVAS DE CAFICULTORES SA,KURUKAHVECI MEHMET EFENDI MAHDUMLARI LTS STI,KURUKAHVECI MEHMET EFENDI MAHDUMLARI LTS STI,TURKEY,TURKEY,38.508,164271.31,CO-00
1904,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,INCONEXUS S A S,INCONEXUS S A S,GOODS & FOODS,GOODS & FOODS,SAUDI ARABIA,SAUDI ARABIA,38.507,207180.22,CO-00
1905,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,RACAFE & CIA S C A,RACAFE & CIA S C A,CORDIAL SA U SA INC,CORDIAL SA U SA INC,UNITED STATES,UNITED STATES,38.506,127971.94,CO-00
1906,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,SUCAFINA COLOMBIA S A S,SUCAFINA COLOMBIA S A S,MIAL IMPEX 1986 LTD,MIAL IMPEX 1986 LTD,ISRAEL,ISRAEL,38.506,224959.08,CO-00
1907,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,BANCA EXPORTADORA S A,BANCA EXPORTADORA S A,VOLCAFE U SA LLC,VOLCAFE U SA LLC,CANADA,CANADA,38.505,183782.78,CO-00
1908,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,INTEGRA TRADING S A S,INTEGRA TRADING S A S,VOLCAFE USA LLC THE GALLERIA 2 BRIDGE,VOLCAFE USA LLC THE GALLERIA 2 BRIDGE,CANADA,CANADA,38.504,210944.0,CO-00
1909,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,CIA CAFETERA LA MESETA S A,CIA CAFETERA LA MESETA S A,BULUTLAR KURUYEMIS TARIM URN GIDA,BULUTLAR KURUYEMIS TARIM URN GIDA,TURKEY,TURKEY,38.502,176472.05,CO-00
1910,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,SKN CARIBECAFE LTD,SKN CARIBECAFE LTD,KURUKAHVECI MEHMET EFENDI MAHDUMLARI LTS STI,KURUKAHVECI MEHMET EFENDI MAHDUMLARI LTS STI,TURKEY,TURKEY,38.501000000000005,150573.73,CO-00
1911,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,COFCO COLOMBIA S A S,COFCO,DINGZHIRUI INTERNATIONAL TRADE CO LTD,DINGZHIRUI INTERNATIONAL TRADE CO LTD,CHINA (MAINLAND),CHINA (MAINLAND),38.501000000000005,195630.53,CO-00
1912,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,CAFEXPORT S A R L SUC COL,CAFEXPORT S A R L SUC COL,SUSTAINABLE HARVEST INC,SUSTAINABLE HARVEST INC,UNITED STATES,UNITED STATES,38.5,124705.0,CO-00
