,year,country_of_wood_production,province_of_wood_production,pulp_wood_source,wood_supplier,wood_supplier_corporate_group,pulp_mill,pulp_mill_corporate_group,zero_deforestation_indonesia_wood_pulp,product_type,pulp_grade,province_of_pulp_export,importer,importer_corporate_group,country_of_importer,country_of_destination,volume,annual_woodpulp_deforestation,burned_area,co2_total_emissions_wood_pulp_exposure,concession_area,concession_deforestation,deforestation_on_peat,land_use,peat_area,remaining_forest,wood_pulp_deforestation_10_year_total_exposure,wood_pulp_production_volume_m3,province_of_wood_production_trase_id,wood_supplier_trase_id,co2_emissions_wood_pulp_burned_peat_exposure,co2_emissions_wood_pulp_subsidence_co2_exposure,co2_gross_emissions_wood_pulp_deforestation_exposure,co2_net_emissions_wood_pulp_deforestation_exposure
569,2022,INDONESIA,RIAU,PLANTATION,PT RIAU INDO AGROPALMA,SINAR MAS,INDAH KIAT,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,GOLDEN PROFIT TRADING PTE LTD,SINAR MAS,SINGAPORE,CHINA (MAINLAND),1308.176800064788,0.0,0.0,9872.562154950456,216.7071790298071,0.7039109756268644,0.0,134.50326618173605,203.996620375633,45.901692291135454,131.4993599036773,5858.73810276612,ID-14,ID-WOOD-CONCESSION-0480,0.0,9872.562154950456,0.0,0.0
570,2022,INDONESIA,KALIMANTAN TIMUR,PLANTATION,PT SUMALINDO HUTANI JAYA I,SINAR MAS,INDAH KIAT,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,CHINA UNION (MACAO COMMERCIAL OFFSHORE) CO LTD,CHINA UNION,MACAO,CHINA (MAINLAND),1307.2568211570451,0.0,0.5465832864238932,0.0,379.8432321065808,0.0,0.0,304.9934738245324,0.0,0.0,0.0,5976.0522861366235,ID-64,ID-WOOD-CONCESSION-0355,0.0,0.0,0.0,0.0
571,2022,INDONESIA,KALIMANTAN TIMUR,PLANTATION,PT ITCI HUTANI MANUNGGAL,ROYAL GOLDEN EAGLE / TANOTO,APRIL,ROYAL GOLDEN EAGLE / TANOTO,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,APRIL FAR EAST MALAYSIA SDN BHD,ROYAL GOLDEN EAGLE / TANOTO,MALAYSIA,JAPAN,1305.4682297113177,0.0,0.0,-68.74387908669412,1089.047416254091,0.0907635690323996,0.0,684.6062698408676,0.0,10.616789844067249,0.0334813360055981,6459.6412070336655,ID-64,ID-WOOD-CONCESSION-0565,0.0,0.0,0.0,-68.74387908669412
572,2022,INDONESIA,SUMATERA SELATAN,PLANTATION,PT BUMI PERSADA PERMAI,SINAR MAS,OKI,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,SUMATERA SELATAN,GOLDEN PROFIT TRADING PTE LTD,SINAR MAS,SINGAPORE,INDIA,1301.4851429198654,0.0111482029716154,0.0,-11.10361015972898,335.7894476065429,0.1954975104168299,0.0,218.3821480109749,0.0,5.102966624247228,11.778076439511716,6241.66145384954,ID-16,ID-WOOD-CONCESSION-0433,0.0,0.0,4.057945881668021,-11.10361015972898
573,2022,INDONESIA,RIAU,PLANTATION,PT BUKIT BATU HUTANI ALAM,SINAR MAS,INDAH KIAT,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,GREAT CHAMP (L) BHD,UNKNOWN AFFILIATION,MALAYSIA,INDIA,1284.348389317647,0.0,0.0,11898.256986458631,190.4336969522702,0.0,0.0,164.84954544226306,185.98861944640024,23.71827936534979,1.802693255352809,5752.01837207074,ID-14,ID-WOOD-CONCESSION-0483,0.0,11898.256986458631,0.0,0.0
574,2022,INDONESIA,SUMATERA UTARA,PLANTATION,PT SUMATERA RIANG LESTARI (SUMATERA UTARA),ROYAL GOLDEN EAGLE / TANOTO,APRIL,ROYAL GOLDEN EAGLE / TANOTO,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,APRIL INTERNATIONAL ENTEPRISE PTE LTD,ROYAL GOLDEN EAGLE / TANOTO,SINGAPORE,UNITED ARAB EMIRATES,1280.4076748888551,0.0,0.0965026183002923,0.0,463.8329418161908,0.1558184797537087,0.0,237.65148365279848,0.0,27.073417066099047,95.45487558731772,6865.430629384383,ID-12,ID-WOOD-CONCESSION-0402,0.0,0.0,0.0,0.0
575,2022,INDONESIA,KALIMANTAN TENGAH,COMMUNITY,COMMUNITY FORESTRY (CENTRAL KALIMANTAN),UNKNOWN AFFILIATION,OKI,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,SUMATERA SELATAN,BRIGHTENING SKY CO LTD,UNKNOWN AFFILIATION,CHINA (HONG KONG),CHINA (MAINLAND),1279.5355823778289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6136.407627848211,ID-62,ID-WOOD-CONCESSION-0020,0.0,0.0,0.0,0.0
576,2022,INDONESIA,SUMATERA SELATAN,PLANTATION,PT BUMI ANDALAS PERMAI,SINAR MAS,OKI,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,SUMATERA SELATAN,GILSTEAD PACIFIC (HK) LIMITED,UNKNOWN AFFILIATION,CHINA (HONG KONG),UNITED ARAB EMIRATES,1269.8356497853963,0.0,0.0,22957.900050166903,586.9157257789805,0.0072299375154152,0.0,416.10977263859365,367.7110881265443,0.5501976984425834,0.0,6089.876193012551,ID-16,ID-WOOD-CONCESSION-0429,0.0,24173.78809743528,0.0,-1215.88804726838
577,2022,INDONESIA,RIAU,PLANTATION,PT SUMATERA SILVA LESTARI (RIAU),ROYAL GOLDEN EAGLE / TANOTO,APRIL,ROYAL GOLDEN EAGLE / TANOTO,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,APRIL INTERNATIONAL ENTEPRISE PTE LTD,ROYAL GOLDEN EAGLE / TANOTO,SINGAPORE,BANGLADESH,1269.2989659812567,0.0,0.0,0.0,438.04666913270296,0.0,0.0,330.60483031637636,0.0,0.0,0.0,6280.68749980689,ID-14,ID-WOOD-CONCESSION-0485,0.0,0.0,0.0,0.0
578,2022,INDONESIA,RIAU,PLANTATION,PT RIAU INDO AGROPALMA,SINAR MAS,INDAH KIAT,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,GREAT CHAMP (L) BHD,UNKNOWN AFFILIATION,MALAYSIA,SOUTH KOREA,1265.077351093703,0.0,0.0,9547.298789333458,209.56750188234483,0.6807197868114735,0.0,130.07189524092985,197.27570778207692,44.389406150232915,127.16695624721574,5665.714970202836,ID-14,ID-WOOD-CONCESSION-0480,0.0,9547.298789333458,0.0,0.0
