,year,biome,country_of_production,product_type,zero_deforestation_bolivia_soy,province_of_production,municipality_of_production,port_of_export,exporter_group,importer_group,country,economic_bloc,volume,co2_gross_emissions_soy_deforestation_5_year_total_exposure,land_use,soy_deforestation_5_year_total_exposure,province_of_production_trase_id,municipality_of_production_trase_id
5643,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,AGROTRAM SRL,INVERSIONES OIGIMER EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - INVERSIONES OIGIMER EIRL,PERU,PERU,2.5564966857767226,3.912157367979259,0.8369391312891487,0.0202093237030388,BO-0711,BO-071104
5644,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,AGROINDUSTRIAS VARGAS GOMEZ GARCIA SRL,GRUPO HJ INVERSIONES EIRL,PERU,PERU,2.5554419891689832,3.910543386186165,0.8365938474999828,0.0202009862366642,BO-0711,BO-071104
5645,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,AGROINDUSTRIAS VARGAS GOMEZ GARCIA SRL,INVERSIONES HEREIN SAC,PERU,PERU,2.5554419891689832,3.910543386186165,0.8365938474999828,0.0202009862366642,BO-0711,BO-071104
5646,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN OIL,{NONE},NUFLO DE CHAVEZ,CUATRO CANADAS,FRONTERA PISIGA,HUGO SPECHAR GONZALES - GRANOS,ROAG INTERNATIONAL INC,ECUADOR,ECUADOR,2.5504944536129535,16.408600539242098,0.8349741363799482,0.0523630223250414,BO-0711,BO-071106
5647,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN OIL,{NONE},NUFLO DE CHAVEZ,CUATRO CANADAS,TAMBO QUEMADA,HUGO SPECHAR GONZALES - GRANOS,ROAG INTERNATIONAL INC,PERU,PERU,2.5504944536129535,16.408600539242098,0.8349741363799482,0.0523630223250414,BO-0711,BO-071106
5648,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{NONE},CHIQUITOS,PAILON,YACUIBA,HUGO SPECHAR GONZALES - GRANOS,EMPRESA COMERCIALIZADORA LLACOLEN SA,CHILE,CHILE,2.5479470178578714,21.1850022121771,0.8341401635922125,0.0822418106881538,BO-0705,BO-070502
5649,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},CHIQUITOS,PAILON,DESAGUADERO,BOLIVIANECOFOODS SRL,CORPORACION BELCEN SAC,PERU,PERU,2.543569795886127,21.14860763391285,0.8327071602267578,0.08210052413148,BO-0705,BO-070502
5650,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{NONE},WARNES,WARNES,DESAGUADERO,INDUSTRIAS OLEAGINOSAS S.A.,ADM ANDINA PERU SRL,PERU,PERU,2.528611818403719,6.147466622388168,0.8278102570742443,0.0244823932333804,BO-0702,BO-070201
5651,2021,SOUTHWEST AMAZON MOIST FORESTS,BOLIVIA,SOYBEANS,{UNKNOWN},ICHILO,YAPACANI,DESAGUADERO,TITO TIBURCIO POCOMANI MEDRANO - INVERSIONES AGROPECUARIAS SAMARY-INAGROS IMPORT-EXPORT,MAYTA ALEMAN JESUS SIMEON,PERU,PERU,2.522547632578642,5.76308007701884,0.8258249799390729,0.029493483530202,BO-0704,BO-070403
5652,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},NUFLO DE CHAVEZ,CUATRO CANADAS,DESAGUADERO,AGROTRAM SRL,ALIMENTOS & SERVICIOS QUIMA SAC,PERU,PERU,2.5078471897319767,16.134229459499775,0.8210123877952598,0.0514874510696176,BO-0711,BO-071106
5653,2021,SOUTHWEST AMAZON MOIST FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},ICHILO,YAPACANI,DESAGUADERO,EMPRESA DE TRANSFORMACION AGROINDUSTRIAL SA - ETASA,MULTIPLES DISTRIBUCIONES SAC,PERU,PERU,2.5048519017884283,5.722651935148187,0.8200317983411909,0.0292865860516864,BO-0704,BO-070403
5654,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{NONE},CHIQUITOS,PAILON,YACUIBA,INDUSTRIAS OLEAGINOSAS S.A.,AGRICOLA TARAPACA SA,CHILE,CHILE,2.5015455540077656,20.799195479374944,0.818949374939399,0.080744079228721,BO-0705,BO-070502
