,year,biome,country_of_production,product_type,forest_500_soy,zero_deforestation_paraguay_soy,department,district_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob,land_use,soy_deforestation_5_year_total_exposure,department_trase_id
485,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",CANINDEYU,VILLA DEL ROSARIO,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,NETHERLANDS,EUROPEAN UNION,3537.86,1154748.5400009823,1582.8755890851182,16.097263,PY-14
486,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",CAAGUAZU,VILLETA,MERCANTIL COMERCIAL (MERCO),LOUIS DREYFUS,PERU,PERU,3525.3599999999997,1279297.7405866743,1418.0140837701715,19.742015999999996,PY-05
487,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN OIL,,{NONE},SAN PEDRO,VILLETA,COMPANIA PARAGUAYA DE GRANOS,COMPANIA PARAGUAYA DE GRANOS,INDIA,INDIA,3525.26,2443184.1654716465,1454.127751901649,72.97288199999998,PY-02
488,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,,{UNKNOWN},ALTO PARANA,CIUDAD DEL ESTE,LAR SRL,LAR,BRAZIL,BRAZIL,3508.75,1065006.0477524516,1556.9048131955485,3.859625,PY-10
489,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",ITAPUA,VILLETA,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,NETHERLANDS,EUROPEAN UNION,3490.71,1139535.2524681385,1329.3508575963397,4.886994,PY-07
490,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,,{NONE},CANINDEYU,ANTEQUERA,FRANCISCO VIERCI Y CIA,FRANCISCO VIERCI Y CIA,ARGENTINA,ARGENTINA,3485.79,1206398.6812947397,1559.5789261522543,15.8603445,PY-14
491,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,{NONE},CAAGUAZU,SAN ANTONIO,AMAGGI SOCIEDAD DE RESPONSABILIDAD LIMITADA,AMAGGI,URUGUAY,URUGUAY,3471.79,1113853.0000000002,1396.4664930368658,19.442023999999996,PY-05
492,2019,CHACO HUMEDO,PARAGUAY,SOYBEAN CAKE,4.0,"{""COMPANY COMMITMENT""}",CONCEPCION,VILLETA,ADM PARAGUAY,ADM,THAILAND,THAILAND,3469.21,1004453.3928716792,1421.143473789416,225.49865,PY-01
493,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,,{NONE},CAAZAPA,VILLETA,COMPANIA PARAGUAYA DE GRANOS,COMPANIA PARAGUAYA DE GRANOS,UNITED KINGDOM,EUROPEAN UNION,3452.41,1097255.672961189,1414.8877134949282,16.7441885,PY-06
494,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,,{NONE},ALTO PARANA,VILLETA,COMPANIA PARAGUAYA DE GRANOS,COMPANIA PARAGUAYA DE GRANOS,UNITED KINGDOM,EUROPEAN UNION,3404.89,1082152.126092015,1510.8199870043152,3.745379,PY-10
495,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN RESIDUE,4.0,"{""COMPANY COMMITMENT""}",CAAGUAZU,VILLETA,ADM PARAGUAY,ADM,URUGUAY,URUGUAY,3401.71,367437.19808891346,1368.278045051238,19.049576,PY-05
496,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,4.0,"{""COMPANY COMMITMENT""}",CAAGUAZU,VILLETA,ADM PARAGUAY,ADM,MAURITIUS,MAURITIUS,3384.9,958028.4688233814,1361.5165180729502,18.955439999999996,PY-05
497,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,4.0,"{""COMPANY COMMITMENT""}",ALTO PARANA,VILLETA,ADM PARAGUAY,ADM,CHILE,CHILE,3372.91,1084392.062560951,1496.629800776743,3.710201,PY-10
498,2019,CHACO HUMEDO,PARAGUAY,SOYBEAN CAKE,4.0,"{""COMPANY COMMITMENT""}",MISIONES,VILLETA,BUNGE PARAGUAY SA,BUNGE,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,3362.92,1096920.4774859336,1859.203019363308,2.017752,PY-08
499,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",CAAGUAZU,VILLETA,LOUIS DREYFUS PARAGUAY,LOUIS DREYFUS,IRELAND,EUROPEAN UNION,3353.73,937260.571453996,1348.978933545096,18.780887999999997,PY-05
500,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",ITAPUA,VILLETA,MERCANTIL COMERCIAL (MERCO),LOUIS DREYFUS,BANGLADESH,BANGLADESH,3348.31,1025548.6608632354,1275.1213277523484,4.687633999999999,PY-07
501,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",CANINDEYU,ANTEQUERA,CARGILL AGROPECUARIA SACI,CARGILL,ARGENTINA,ARGENTINA,3341.52,1071138.076375966,1495.0310183104204,15.203916,PY-14
502,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN OIL,3.0,"{""COMPANY COMMITMENT""}",CAAGUAZU,VILLETA,CARGILL AGROPECUARIA SACI,CARGILL,EGYPT,EGYPT,3332.3900000000003,2380995.7420151625,1340.3952937047236,18.661384,PY-05
503,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",ITAPUA,PRESIDENTE FRANCO,CARGILL AGROPECUARIA SACI,CARGILL,CHILE,CHILE,3324.51,1094878.4525864157,1266.0576844216814,4.654313999999999,PY-07
504,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",CANINDEYU,VILLA DEL ROSARIO,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,ARGENTINA,ARGENTINA,3321.01,1081239.490113884,1485.8546296652694,15.110595500000002,PY-14
